title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq2297;size=1;	Uniq0957;size=3;	NOISY VARIANT	4	2	1
Uniq2773;size=1;	Uniq0957;size=3;	NOISY VARIANT	4	4	1
Uniq3447;size=1;	Uniq0957;size=3;	NOISY VARIANT	4	4	0
Uniq3613;size=1;	Uniq0957;size=3;	NOISY VARIANT	2	2	0
Uniq4084;size=1;	Uniq0957;size=3;	NOISY VARIANT	2	4	1
Uniq4490;size=1;	Uniq0957;size=3;	NOISY VARIANT	1	3	0
Uniq4817;size=1;	Uniq0957;size=3;	NOISY VARIANT	3	3	0
Uniq5288;size=1;	Uniq0957;size=3;	NOISY VARIANT	2	4	1
Uniq5360;size=1;	Uniq0957;size=3;	NOISY VARIANT	4	4	1
Uniq5491;size=1;	Uniq0957;size=3;	NOISY VARIANT	2	4	1
Uniq5951;size=1;	Uniq0957;size=3;	NOISY VARIANT	4	4	1
Uniq0957;size=3;	*	VARIANT	*	*	*
Uniq1455;size=1;	Uniq0960;size=3;	NOISY VARIANT	2	0	1
Uniq1951;size=1;	Uniq0960;size=3;	NOISY VARIANT	1	3	0
Uniq2053;size=1;	Uniq0960;size=3;	NOISY VARIANT	3	3	0
Uniq2434;size=1;	Uniq0960;size=3;	NOISY VARIANT	2	2	1
Uniq4515;size=1;	Uniq0960;size=3;	NOISY VARIANT	3	3	1
Uniq0960;size=3;	*	VARIANT	*	*	*
Uniq2897;size=1;	Uniq0994;size=2;	NOISY VARIANT	1	3	1
Uniq3655;size=1;	Uniq0994;size=2;	NOISY VARIANT	2	2	1
Uniq4198;size=1;	Uniq0994;size=2;	NOISY VARIANT	3	3	1
Uniq4353;size=1;	Uniq0994;size=2;	NOISY VARIANT	1	3	0
Uniq4979;size=1;	Uniq0994;size=2;	NOISY VARIANT	1	3	0
Uniq0994;size=2;	*	VARIANT	*	*	*
Uniq2232;size=1;	Uniq1033;size=2;	NOISY VARIANT	4	4	1
Uniq2430;size=1;	Uniq1033;size=2;	NOISY VARIANT	4	0	0
Uniq2819;size=1;	Uniq1033;size=2;	NOISY VARIANT	3	3	0
Uniq3493;size=1;	Uniq1033;size=2;	NOISY VARIANT	4	4	0
Uniq4082;size=1;	Uniq1033;size=2;	NOISY VARIANT	4	2	0
Uniq4155;size=1;	Uniq1033;size=2;	NOISY VARIANT	3	3	0
Uniq4177;size=1;	Uniq1033;size=2;	NOISY VARIANT	4	4	1
Uniq4303;size=1;	Uniq1033;size=2;	NOISY VARIANT	1	3	0
Uniq4861;size=1;	Uniq1033;size=2;	NOISY VARIANT	4	4	1
Uniq1033;size=2;	*	VARIANT	*	*	*
Uniq5862;size=1;	Uniq1034;size=2;	NOISY VARIANT	3	3	0
Uniq1034;size=2;	*	VARIANT	*	*	*
Uniq2031;size=1;	Uniq1043;size=2;	NOISY VARIANT	1	3	0
Uniq2239;size=1;	Uniq1043;size=2;	NOISY VARIANT	4	2	0
Uniq3345;size=1;	Uniq1043;size=2;	NOISY VARIANT	4	2	0
Uniq3448;size=1;	Uniq1043;size=2;	NOISY VARIANT	2	2	0
Uniq4594;size=1;	Uniq1043;size=2;	NOISY VARIANT	1	3	0
Uniq4942;size=1;	Uniq1043;size=2;	NOISY VARIANT	2	2	0
Uniq5204;size=1;	Uniq1043;size=2;	NOISY VARIANT	1	3	0
Uniq5214;size=1;	Uniq1043;size=2;	NOISY VARIANT	0	0	0
Uniq5807;size=1;	Uniq1043;size=2;	NOISY VARIANT	3	3	0
Uniq1043;size=2;	*	VARIANT	*	*	*
Uniq2738;size=1;	Uniq1068;size=2;	NOISY VARIANT	1	3	0
